id,text,sentiment,text_original,tokens
28010,ضحكت حتي سخفت,positif,ضحكت حتي سخفت,"['ضحكت', 'حتي', 'سخفت']"
28011,hilal,neutre,hilal,['hilal']
28012,wlh habiiit concepts awal mara ndie cmmt ccpt wlk waaaaaaaaw habit wlh,positif,wlh habiiit concepts awal mara ndie cmmt ccpt wlk waaaaaaaaw habit wlh,"['wlh', 'habiiit', 'concepts', 'awal', 'mara', 'ndie', 'cmmt', 'ccpt', 'wlk', 'waaaaaaaaw', 'habit', 'wlh']"
28013,ناضي تبارك الله عليكم كاملين اكثر حاجه ميزت ھادشي ھي العفويه,positif,ناضي تبارك الله عليكم كاملين اكثر حاجه ميزت ھادشي ھي العفويه,"['ناضي', 'تبارك', 'الله', 'عليكم', 'كاملين', 'اكثر', 'حاجه', 'ميزت', 'ھادشي', 'ھي', 'العفويه']"
28014,بطاطا,neutre,بطاطا,['بطاطا']
28015,lyoutube bda yrje3 kif haka mzyan bch yn9es mndek tkhrbe9,positif,lyoutube bda yrje3 kif haka mzyan bch yn9es mndek tkhrbe9,"['lyoutube', 'bda', 'yrje3', 'kif', 'haka', 'mzyan', 'bch', 'yn9es', 'mndek', 'tkhrbe9']"
28016,yassine is the best,positif,yassine is the best,"['yassine', 'is', 'the', 'best']"
28017,moroccan youtube nowdays tbarkellah 3likoun,positif,moroccan youtube nowdays tbarkellah 3likoun,"['moroccan', 'youtube', 'nowdays', 'tbarkellah', '3likoun']"
28018,zoubir harbaaaaa,positif,zoubir harbaaaaa,"['zoubir', 'harbaaaaa']"
28019,هادشي ناضي,positif,هادشي ناضي,"['هادشي', 'ناضي']"
28020,قتلتوني بالضحك,positif,قتلتوني بالضحك,"['قتلتوني', 'بالضحك']"
28021,wlahta makrahtch vido maysalich,positif,wlahta makrahtch vido maysalich,"['wlahta', 'makrahtch', 'vido', 'maysalich']"
28022,المووونطاااج ناااضي الميكساج الصوت واااو خدمه وااعره وكونسيب اي لاف ايت,positif,المووونطاااج ناااضي الميكساج الصوت واااو خدمه وااعره وكونسيب اي لاف ايت,"['المووونطاااج', 'ناااضي', 'الميكساج', 'الصوت', 'واااو', 'خدمه', 'وااعره', 'وكونسيب', 'اي', 'لاف', 'ايت']"
28023,احسن الزوبير,positif,احسن الزوبير,"['احسن', 'الزوبير']"
28024,سيمو سدراتي الوحيد وخا كيغبر علي يوتيوب بزاف كيعرف يرجع وبقوه وقناه ديالو مكتموتش وعندو ذكاء خارق,positif,سيمو سدراتي الوحيد وخا كيغبر علي يوتيوب بزاف كيعرف يرجع وبقوه وقناه ديالو مكتموتش وعندو ذكاء خارق,"['سيمو', 'سدراتي', 'الوحيد', 'وخا', 'كيغبر', 'علي', 'يوتيوب', 'بزاف', 'كيعرف', 'يرجع', 'وبقوه', 'وقناه', 'ديالو', 'مكتموتش', 'وعندو', 'ذكاء', 'خارق']"
28025,montaaage waaaa3er walah hhhhhhhhhh bravo,positif,montaaage waaaa3er walah hhhhhhhhhh bravo,"['montaaage', 'waaaa3er', 'walah', 'hhhhhhhhhh', 'bravo']"
28026,ahsan video fl3lam,positif,ahsan video fl3lam,"['ahsan', 'video', 'fl3lam']"
28027,1903 heee lbtataaa,neutre,1903 heee lbtataaa,"['1903', 'heee', 'lbtataaa']"
28028,harbtouni,positif,harbtouni,['harbtouni']
28029,yassin is the best hhhhhh,positif,yassin is the best hhhhhh,"['yassin', 'is', 'the', 'best', 'hhhhhh']"
28030,كولشي علي مادزابيش قاليهم زلق وتخشي,neutre,كولشي علي مادزابيش قاليهم زلق وتخشي,"['كولشي', 'علي', 'مادزابيش', 'قاليهم', 'زلق', 'وتخشي']"
28031,تحياتي ليكم نقيو اينا صوشل ميديا,positif,تحياتي ليكم نقيو اينا صوشل ميديا,"['تحياتي', 'ليكم', 'نقيو', 'اينا', 'صوشل', 'ميديا']"
28032,perfect concept,positif,perfect concept,"['perfect', 'concept']"
28033,and my personalities,neutre,and my personalities,"['and', 'my', 'personalities']"
28034,ستمتعت,positif,ستمتعت,['ستمتعت']
28035,kolchi zle9 wtkhecha fih,neutre,kolchi zle9 wtkhecha fih,"['kolchi', 'zle9', 'wtkhecha', 'fih']"
28036,ahsn wa7da fhad 7l9a hwa mamabahfit,positif,ahsn wa7da fhad 7l9a hwa mamabahfit,"['ahsn', 'wa7da', 'fhad', '7l9a', 'hwa', 'mamabahfit']"
28037,ناري كنشوف الفيديو الليل حابسا الضحكه,positif,ناري كنشوف الفيديو الليل حابسا الضحكه,"['ناري', 'كنشوف', 'الفيديو', 'الليل', 'حابسا', 'الضحكه']"
28038,اخيب خاجه انه الفيديو كايسالي دغيا برافو سيمو هههههه يامات فيديوات فالبيت كاميره معلقه فالحيط يامات التكوين ههه,positif,اخيب خاجه انه الفيديو كايسالي دغيا برافو سيمو هههههه يامات فيديوات فالبيت كاميره معلقه فالحيط يامات التكوين ههه,"['اخيب', 'خاجه', 'انه', 'الفيديو', 'كايسالي', 'دغيا', 'برافو', 'سيمو', 'هههههه', 'يامات', 'فيديوات', 'فالبيت', 'كاميره', 'معلقه', 'فالحيط', 'يامات', 'التكوين', 'ههه']"
28039,zobiiiir lkhrya dhk,positif,zobiiiir lkhrya dhk,"['zobiiiir', 'lkhrya', 'dhk']"
28040,dih wad,neutre,dih wad,"['dih', 'wad']"
28041,زوبير قلتني بضحححححك,positif,زوبير قلتني بضحححححك,"['زوبير', 'قلتني', 'بضحححححك']"
28042,yassin,neutre,yassin,['yassin']
28043,cocept mamafhoumch,négatif,cocept mamafhoumch,"['cocept', 'mamafhoumch']"
28044,part zug الجزء الثاني,neutre,part zug الجزء الثاني,"['part', 'zug', 'الجزء', 'الثاني']"
